file|error code|error message|start line|start char|end line|end char|target
client\src\Components\Employees\EmployeeCard.tsx|2322|Type 'string[]' is not assignable to type 'Key'.|133|20|133|23|undefined
client\src\Components\Employees\EmployeeCard.tsx|2322|Type 'string[]' is not assignable to type 'Key'.|151|20|151|23|undefined
client\src\Components\Employees\EmployeeCard.tsx|2322|Type 'string[]' is not assignable to type 'Key'.|169|20|169|23|undefined
client\src\Components\Employees\EmployeeCard.tsx|2322|Type 'string[]' is not assignable to type 'Key'.|276|18|276|21|undefined
client\src\Components\Employees\EmployeeCard.tsx|2322|Type 'string[]' is not assignable to type 'Key'.|301|18|301|21|undefined
client\src\Components\Employees\EmployeeCard.tsx|2322|Type '{ onClick: (e: MouseEvent<HTMLElement, MouseEvent>) => void; type: string; className: string; }' is not assignable to type 'DetailedHTMLProps<HTMLAttributes<HTMLElement>, HTMLElement>'.
  Property 'type' does not exist on type 'DetailedHTMLProps<HTMLAttributes<HTMLElement>, HTMLElement>'.|351|14|351|18|undefined
client\src\Components\Employees\EmployeeCard.tsx|6133|'React' is declared but its value is never read.|1|7|1|12|undefined
client\src\Components\Employees\EmployeeCard.tsx|6133|'handleShowDeletePrompt' is declared but its value is never read.|6|2|6|24|undefined
client\src\Components\Employees\EmployeeCard.tsx|6133|'employees' is declared but its value is never read.|11|2|11|11|undefined
client\src\Components\Employees\EmployeeCard.tsx|6133|'handleEmployeeUpdate' is declared but its value is never read.|40|2|40|22|undefined
client\src\Components\Employees\EmployeeCard.tsx|6133|'btnValue' is declared but its value is never read.|93|9|93|17|undefined
client\src\Components\Employees\EmployeeCard.tsx|6133|'foundEmployee' is declared but its value is never read.|94|9|94|22|undefined
client\src\Components\Employees\EmployeeCard.tsx|6133|'setFoundEmployee' is declared but its value is never read.|94|24|94|40|undefined
client\src\Components\Employees\EmployeeCard.tsx|7044|Parameter 'id' implicitly has an 'any' type, but a better type may be inferred from usage.|97|26|97|28|undefined
client\src\Components\Employees\EmployeeCard.tsx|6133|'e' is declared but its value is never read.|201|30|201|31|undefined
client\src\Components\Employees\EmployeeCard.tsx|6133|'e' is declared but its value is never read.|313|24|313|25|undefined
