file|error code|error message|start line|start char|end line|end char|target
client\src\Components\Employees\AllEmployees.tsx|2345|Argument of type '{}' is not assignable to parameter of type 'employeeInfoForModalInterface | (() => employeeInfoForModalInterface)'.|40|98|40|100|undefined
client\src\Components\Employees\AllEmployees.tsx|2322|Type '{ key: any; handleShowDeletePrompt: () => void; setShow: Dispatch<SetStateAction<boolean>>; handleShow: () => void; handleEditMode: () => void; handleShowNow: () => void; ... 36 more ...; onDelete: (id: any) => Promise<...>; }' is not assignable to type 'IntrinsicAttributes & { handleShowDeletePrompt: any; handleEditMode: any; handleShowNow: any; handleEmployeeSetForModal: any; onUpdateEmployeeState: any; employees: any; ... 29 more ...; onDelete: any; }'.
  Property 'setShow' does not exist on type 'IntrinsicAttributes & { handleShowDeletePrompt: any; handleEditMode: any; handleShowNow: any; handleEmployeeSetForModal: any; onUpdateEmployeeState: any; employees: any; ... 29 more ...; onDelete: any; }'.|208|8|208|15|undefined
client\src\Components\Employees\AllEmployees.tsx|2322|Type '{ key: any; handleShowDeletePrompt: () => void; setShow: Dispatch<SetStateAction<boolean>>; handleShow: () => void; handleEditMode: () => void; handleShowNow: () => void; ... 37 more ...; onDelete: (id: any) => Promise<...>; }' is not assignable to type 'IntrinsicAttributes & { handleShowDeletePrompt: any; handleEditMode: any; handleShowNow: any; handleEmployeeSetForModal: any; onUpdateEmployeeState: any; employees: any; ... 29 more ...; onDelete: any; }'.
  Property 'setShow' does not exist on type 'IntrinsicAttributes & { handleShowDeletePrompt: any; handleEditMode: any; handleShowNow: any; handleEmployeeSetForModal: any; onUpdateEmployeeState: any; employees: any; ... 29 more ...; onDelete: any; }'.|259|8|259|15|undefined
client\src\Components\Employees\AllEmployees.tsx|2322|Type '{ employees: any; handleEditMode: () => void; handleShowNow: () => void; employeeInfoForModal: employeeInfoForModalInterface; handleEmployeeUpdate: (e: any, id: any, employeeToUpdate: any) => Promise<...>; ... 17 more ...; newImage: string; }' is not assignable to type 'IntrinsicAttributes & { employeeid: any; firstname: any; lastname: any; department: any; designation: any; degree: any; email: any; image: any; mobile: any; handleEditMode: any; handleShowNow: any; handleEmployeeUpdate: any; employeeInfoForModal: any; }'.
  Property 'employees' does not exist on type 'IntrinsicAttributes & { employeeid: any; firstname: any; lastname: any; department: any; designation: any; degree: any; email: any; image: any; mobile: any; handleEditMode: any; handleShowNow: any; handleEmployeeUpdate: any; employeeInfoForModal: any; }'. Did you mean 'employeeid'?|375|10|375|19|undefined
client\src\Components\Employees\AllEmployees.tsx|2551|Property 'employeeid' does not exist on type 'employeeInfoForModalInterface'. Did you mean 'newEmployeeid'?|380|43|380|53|undefined
client\src\Components\Employees\AllEmployees.tsx|2551|Property 'firstname' does not exist on type 'employeeInfoForModalInterface'. Did you mean 'newFirstname'?|381|42|381|51|undefined
client\src\Components\Employees\AllEmployees.tsx|2339|Property 'lastname' does not exist on type 'employeeInfoForModalInterface'.|382|41|382|49|undefined
client\src\Components\Employees\AllEmployees.tsx|2551|Property 'department' does not exist on type 'employeeInfoForModalInterface'. Did you mean 'newDepartment'?|383|43|383|53|undefined
client\src\Components\Employees\AllEmployees.tsx|2551|Property 'designation' does not exist on type 'employeeInfoForModalInterface'. Did you mean 'newDesignation'?|384|44|384|55|undefined
client\src\Components\Employees\AllEmployees.tsx|2339|Property 'mobile' does not exist on type 'employeeInfoForModalInterface'.|385|39|385|45|undefined
client\src\Components\Employees\AllEmployees.tsx|2339|Property 'email' does not exist on type 'employeeInfoForModalInterface'.|386|38|386|43|undefined
client\src\Components\Employees\AllEmployees.tsx|2339|Property 'degree' does not exist on type 'employeeInfoForModalInterface'.|387|39|387|45|undefined
client\src\Components\Employees\AllEmployees.tsx|2339|Property 'image' does not exist on type 'employeeInfoForModalInterface'.|388|38|388|43|undefined
client\src\Components\Employees\AllEmployees.tsx|6133|'React' is declared but its value is never read.|0|7|0|12|undefined
client\src\Components\Employees\AllEmployees.tsx|6133|'deletePrompt' is declared but its value is never read.|36|9|36|21|undefined
client\src\Components\Employees\AllEmployees.tsx|6133|'handleShowDeletePromptNow' is declared but its value is never read.|47|8|47|33|undefined
client\src\Components\Employees\AllEmployees.tsx|7044|Parameter 'values' implicitly has an 'any' type, but a better type may be inferred from usage.|50|37|50|43|undefined
