file|error code|error message|start line|start char|end line|end char|target
client\src\Components\Employees\AllEmployees.tsx|2322|Type '{ key: any; handleShowDeletePrompt: () => void; setShow: Dispatch<SetStateAction<boolean>>; handleShow: () => void; handleEditMode: () => void; handleShowNow: () => void; ... 36 more ...; onDelete: (id: any) => Promise<...>; }' is not assignable to type 'IntrinsicAttributes & { handleShowDeletePrompt: any; handleEditMode: any; handleShowNow: any; handleEmployeeSetForModal: any; onUpdateEmployeeState: any; employees: any; ... 29 more ...; onDelete: any; }'.
  Property 'setShow' does not exist on type 'IntrinsicAttributes & { handleShowDeletePrompt: any; handleEditMode: any; handleShowNow: any; handleEmployeeSetForModal: any; onUpdateEmployeeState: any; employees: any; ... 29 more ...; onDelete: any; }'.|187|8|187|15|undefined
client\src\Components\Employees\AllEmployees.tsx|2339|Property 'newEmployeeid' does not exist on type '{}'.|208|44|208|57|undefined
client\src\Components\Employees\AllEmployees.tsx|2339|Property 'newFirstname' does not exist on type '{}'.|209|43|209|55|undefined
client\src\Components\Employees\AllEmployees.tsx|2339|Property 'newLastname' does not exist on type '{}'.|210|42|210|53|undefined
client\src\Components\Employees\AllEmployees.tsx|2339|Property 'newDepartment' does not exist on type '{}'.|211|44|211|57|undefined
client\src\Components\Employees\AllEmployees.tsx|2339|Property 'newDesignation' does not exist on type '{}'.|212|45|212|59|undefined
client\src\Components\Employees\AllEmployees.tsx|2339|Property 'newMobile' does not exist on type '{}'.|213|40|213|49|undefined
client\src\Components\Employees\AllEmployees.tsx|2339|Property 'newEmail' does not exist on type '{}'.|214|39|214|47|undefined
client\src\Components\Employees\AllEmployees.tsx|2339|Property 'newDegree' does not exist on type '{}'.|215|40|215|49|undefined
client\src\Components\Employees\AllEmployees.tsx|2339|Property 'newImage' does not exist on type '{}'.|216|39|216|47|undefined
client\src\Components\Employees\AllEmployees.tsx|2339|Property 'newEmployeeidUpdated' does not exist on type '{}'.|217|51|217|71|undefined
client\src\Components\Employees\AllEmployees.tsx|2339|Property 'newFirstnameUpdated' does not exist on type '{}'.|218|50|218|69|undefined
client\src\Components\Employees\AllEmployees.tsx|2339|Property 'newLastnameUpdated' does not exist on type '{}'.|219|49|219|67|undefined
client\src\Components\Employees\AllEmployees.tsx|2339|Property 'newDepartmentUpdated' does not exist on type '{}'.|220|51|220|71|undefined
client\src\Components\Employees\AllEmployees.tsx|2339|Property 'newDesignationUpdated' does not exist on type '{}'.|221|52|221|73|undefined
